Make,Model,n,Model_is_base,Model_agg
SATURN,VUE 2WD V6 3.0L V6 S,5,,VUE
SATURN,VUE 2WD V6 3.5L V6 M,19,,VUE
SATURN,VUE AWD 4C,5,,VUE
SATURN,VUE AWD 4C 2.2L I-4,1,,VUE
SATURN,VUE AWD 4C 2.2L I4 M,6,,VUE
SATURN,VUE AWD V6,20,,VUE
SATURN,VUE AWD V6 3.0L V6 S,1,,VUE
SATURN,VUE AWD V6 3.5L V6 M,3,,VUE
SCION,TC,16,1,
SCION,TC 2.4L I-4 EFI DOHC,5,,TC
SCION,TC 2.4L I4 16V / EFI,1,,TC
SCION,XA,16,1,
SCION,XA 1.5L I4 EFI,1,,XA
SCION,XB,50,1,
SCION,XB 1.5L I-4 EFI DOHC,14,,XB
SCION,XB 1.5L I-4 MPI,3,,XB
SCION,XB 1.5L I4 EFI,15,,XB
SCION,XD,8,1,
SUBARU,FORESTER AWD,7,1,
SUBARU,IMPREZA,4,1,
SUBARU,LEGACY,11,1,
SUBARU,OUTBACK,6,1,
SUZUKI,AERIO,22,1,
SUZUKI,AERIO 2.0L I4 EFI,5,,AERIO
SUZUKI,AERIO 2.3L I-4 SFI D,6,,AERIO
SUZUKI,AERIO 2.3L I4 DI / S,5,,AERIO
SUZUKI,AERIO 2.3L I4 SFI,8,,AERIO
SUZUKI,AERIO AWD,2,,AERIO
SUZUKI,FORENZA,649,1,
SUZUKI,FORENZA 2.0L I4 DI /,8,,FORENZA
SUZUKI,FORENZA 2.0L I4 EFI,356,,FORENZA
SUZUKI,GRAND VITARA 2WD,22,1,GRAND VITARA
SUZUKI,GRAND VITARA 2WD 2.5,2,,GRAND VITARA
SUZUKI,GRAND VITARA 2WD 2.7,8,,GRAND VITARA
SUZUKI,GRAND VITARA 4WD,4,,GRAND VITARA
SUZUKI,GRAND VITARA 4WD 2.7,2,,GRAND VITARA
SUZUKI,GRAND VITARA 4WD MFI,1,,GRAND VITARA
SUZUKI,RENO,102,1,
SUZUKI,RENO 2.0L I-4 EFI DO,2,,RENO
SUZUKI,RENO 2.0L I4 DI / EF,18,,RENO
SUZUKI,RENO 2.0L I4 EFI,33,,RENO
SUZUKI,SX4,12,1,
SUZUKI,SX4 2.0L I4 EFI,1,,SX4
SUZUKI,VERONA,3,1,
SUZUKI,VERONA 2.5L I-6 MPI,5,,VERONA
SUZUKI,VERONA 2.5L I6 DI /,1,,VERONA
SUZUKI,VERONA 2.5L I6 MPI,10,,VERONA
SUZUKI,VITARA 2WD 4C 2.0L I,1,1,VITARA
SUZUKI,VITARA 2WD 4C MFI V6,2,,VITARA
SUZUKI,XL-7 2WD,18,1,XL-7
SUZUKI,XL-7 2WD 2.7L V6 DI,2,,XL-7
SUZUKI,XL-7 2WD 2.7L V6 MFI,6,,XL-7
SUZUKI,XL-7 2WD 3.6L V6 EFI,1,,XL-7
SUZUKI,XL-7 4WD,7,,XL-7
SUZUKI,XL-7 4WD 2.7L V6 MFI,2,,XL-7
SUZUKI,XL-7 4WD 2.7L V6 MPI,2,,XL-7
TOYOTA,4 RUNNER 2WD V6,2,1,4 RUNNER
TOYOTA,4 RUNNER 2WD V6 3.4L,3,,4 RUNNER
TOYOTA,4 RUNNER 2WD V8,3,,4 RUNNER
TOYOTA,4 RUNNER 2WD V8 4.7L,1,,4 RUNNER
TOYOTA,4 RUNNER 4WD V6,1,,4 RUNNER
TOYOTA,4 RUNNER 4WD V6 3.4L,1,,4 RUNNER
TOYOTA,AVALON,14,1,
TOYOTA,AVALON 3.0L V6 EFI,1,,AVALON
TOYOTA,AVALON 3.0L V6 EFI D,1,,AVALON
TOYOTA,AVALON 3.5L V6 EFI,1,,AVALON
TOYOTA,CAMRY 4C,372,1,CAMRY
TOYOTA,CAMRY 4C 2.4L I-4 EF,11,,CAMRY
TOYOTA,CAMRY 4C 2.4L I-4 SF,21,,CAMRY
TOYOTA,CAMRY 4C 2.4L I4 EFI,7,,CAMRY
TOYOTA,CAMRY 4C 2.4L I4 SFI,61,,CAMRY
TOYOTA,CAMRY 4C EI I-4 2.2L,1,,CAMRY
TOYOTA,CAMRY 4C Multiple En,3,,CAMRY
TOYOTA,CAMRY SOLARA 4C,21,,CAMRY
TOYOTA,CAMRY SOLARA 4C 2.4L,4,,CAMRY
TOYOTA,CAMRY SOLARA 4C Mult,2,,CAMRY
TOYOTA,CAMRY SOLARA V6,16,,CAMRY
TOYOTA,CAMRY SOLARA V6 3.0L,4,,CAMRY
TOYOTA,CAMRY SOLARA V6 3.3L,2,,CAMRY
TOYOTA,CAMRY V6,69,,CAMRY
TOYOTA,CAMRY V6 3.0L / 3.3L,1,,CAMRY
TOYOTA,CAMRY V6 3.0L /3.3L,1,,CAMRY
TOYOTA,CAMRY V6 3.0L V6 EFI,3,,CAMRY
TOYOTA,CAMRY V6 3.0L V6 SFI,6,,CAMRY
TOYOTA,CAMRY V6 3.5L V6 SFI,4,,CAMRY
TOYOTA,CELICA,6,1,
TOYOTA,COROLLA,177,1,
TOYOTA,COROLLA 1.8L I-4 EFI,5,,COROLLA
TOYOTA,COROLLA 1.8L I4 EFI,8,,COROLLA
TOYOTA,COROLLA Multiple Eng,4,,COROLLA
TOYOTA,ECHO,3,1,
TOYOTA,ECHO 1.5L I-4 EFI DO,1,,ECHO
TOYOTA,ECHO 1.5L I4 EFI,1,,ECHO
TOYOTA,ECHO Multiple Engine,1,,ECHO
TOYOTA,FJ CRUISER 4WD V6,1,1,
TOYOTA,HIGHLANDER 2WD 4C,10,1,HIGHLANDER
TOYOTA,HIGHLANDER 2WD 4C 2.,3,,HIGHLANDER
TOYOTA,HIGHLANDER 2WD V6,13,1,HIGHLANDER
TOYOTA,HIGHLANDER 2WD V6 3.,5,,HIGHLANDER
TOYOTA,HIGHLANDER 4WD 4C,2,,HIGHLANDER
TOYOTA,HIGHLANDER 4WD V6,4,,HIGHLANDER
TOYOTA,HIGHLANDER 4WD V6 3.,1,,HIGHLANDER
TOYOTA,MATRIX 2WD,106,1,MATRIX
TOYOTA,MATRIX 2WD 1.8L I-4,9,,MATRIX
TOYOTA,MATRIX 2WD Multiple,4,,MATRIX
TOYOTA,MATRIX 2WD Unspecifi,1,,MATRIX
TOYOTA,MATRIX AWD,1,,MATRIX
TOYOTA,MR2 SPYDER,1,1,
TOYOTA,RAV-4 2WD,9,1,RAV-4
TOYOTA,RAV-4 2WD Multiple E,1,,RAV-4
TOYOTA,RAV-4 4WD,2,,RAV-4
TOYOTA,SCION XB,4,1,
TOYOTA,SEQUOIA 2WD,7,1,SEQUOIA
TOYOTA,SEQUOIA 2WD 4.7L V8,6,,SEQUOIA
TOYOTA,SEQUOIA 4WD,1,,SEQUOIA
TOYOTA,SEQUOIA 4WD 4.7L V8,1,,SEQUOIA
TOYOTA,SIENNA,1,1,
TOYOTA,SIENNA 3.0L V6 MPI,2,,SIENNA
TOYOTA,SIENNA 3.0L V6 MPI D,2,,SIENNA
TOYOTA,TACOMA PICKUP 2WD 4C,6,1,TACOMA PICKUP
TOYOTA,TACOMA PICKUP 2WD V6,3,,TACOMA PICKUP
TOYOTA,TUNDRA PICKUP 2WD V6,9,1,TUNDRA PICKUP
TOYOTA,TUNDRA PICKUP 2WD V8,43,1,TUNDRA PICKUP
TOYOTA,TUNDRA PICKUP 4WD V8,5,,TUNDRA PICKUP
TOYOTA,YARIS,37,1,
TOYOTA,YARIS 1.5L I4 EFI /,1,,YARIS
TOYOTA SCION,XA 1.5L I4 EFI,1,1,
VOLKSWAGEN,BEETLE,32,1,
VOLKSWAGEN,BEETLE 2.0L I4 EFI,4,,BEETLE
VOLKSWAGEN,BEETLE 2.0L I4 EFI /,4,,BEETLE
VOLKSWAGEN,BEETLE 2.0L I4 MFI /,13,,BEETLE
VOLKSWAGEN,BEETLE 2.0L I4 MPI,5,,BEETLE
VOLKSWAGEN,JETTA 4C,3,1,JETTA
VOLKSWAGEN,JETTA 5C,69,1,JETTA
VOLKSWAGEN,PASSAT 4C,1,1,
VOLKSWAGEN,RABBIT,2,1,
VOLKSWAGEN,TOUAREG V8,1,1,
VOLVO,S40,36,1,
VOLVO,S60,1,1,
